antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE LIVINGROOM ""})",0.015273677038382921,0.011583011583011582,0.010844878491937316,0.7100371747211897,61.29987608426271,1.0,0.010667963313886548,3.40877140877141,0.9989443060298931,0.6773049645390072,0.7066391728624536,0.8231558422625557
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM ""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.011583011583011582,0.015273677038382921,0.010844878491937316,0.9362745098039217,61.299876084262706,1.0,0.010667963313886548,15.452628452628481,0.9952143324607329,0.6773049645390072,0.9352860904495571,0.8231558422625557
"frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.013627072450601862,0.015273677038382921,0.01232114467408585,0.9041666666666667,59.197707558859975,1.0,0.012113009170496713,10.275405109164701,0.9966894128058184,0.7431506849315069,0.9026802360222184,0.8554290582403965
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})",0.015273677038382921,0.013627072450601862,0.01232114467408585,0.8066914498141263,59.197707558859975,1.0,0.012113009170496713,5.102583029053616,0.9983560214070618,0.7431506849315069,0.8040208274307157,0.8554290582403965
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.01334317510788099,0.014819441290029526,0.01101521689756984,0.8255319148936171,55.70600798891335,1.0,0.010817478497436013,5.6467666169961745,0.9953294703450287,0.642384105960265,0.8229075030318935,0.7844134670253526
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.014819441290029526,0.01334317510788099,0.01101521689756984,0.7432950191570882,55.70600798891335,1.0,0.010817478497436013,3.843543750699151,0.9968209443943038,0.642384105960265,0.7398234377277226,0.7844134670253526
frozenset({'COFFEE MUG DOG + BALL DESIGN'}),frozenset({'COFFEE MUG CAT + BIRD DESIGN'}),0.014819441290029526,0.014933000227117875,0.011071996366114013,0.7471264367816092,50.03190419999125,1.0,0.010850697645964242,3.895492226374579,0.994754458842984,0.5927051671732524,0.7432930315636463,0.7442856518508806
frozenset({'COFFEE MUG CAT + BIRD DESIGN'}),frozenset({'COFFEE MUG DOG + BALL DESIGN'}),0.014933000227117875,0.014819441290029526,0.011071996366114013,0.741444866920152,50.03190419999125,1.0,0.010850697645964242,3.8103306903047374,0.9948691345544189,0.5927051671732524,0.7375555873550641,0.7442856518508806
frozenset({'SET/10 PINK SPOTTY PARTY CANDLES'}),frozenset({'SET/10 BLUE SPOTTY PARTY CANDLES'}),0.017771973654326596,0.014535543947308653,0.011980467862820804,0.6741214057507987,46.37744608626198,1.0,0.011722142558737929,3.024023281808749,0.9961411899819429,0.5893854748603351,0.6693147152617577,0.7491700778753994
frozenset({'SET/10 BLUE SPOTTY PARTY CANDLES'}),frozenset({'SET/10 PINK SPOTTY PARTY CANDLES'}),0.014535543947308653,0.017771973654326596,0.011980467862820804,0.82421875,46.377446086261976,1.0,0.011722142558737929,5.587786105433164,0.9928696960991951,0.5893854748603351,0.8210382464304296,0.7491700778753994
