Customer ID,recency,frequency,monetary,tenure,avg_order_value
12346,166,11,372.86,362,33.89636363636364
12347,4,2,1323.32,41,661.66
12348,75,1,222.16,75,222.16
12349,44,3,2671.1400000000003,226,890.3800000000001
12351,12,1,300.93,12,300.93
12352,12,2,343.79999999999995,29,171.89999999999998
12353,45,1,317.75999999999993,45,317.75999999999993
12355,204,1,488.21,204,488.21
12356,17,3,3562.2499999999995,61,1187.4166666666665
12357,25,2,12079.990000000002,25,6039.995000000001
12358,12,3,2719.01,368,906.3366666666667
12359,62,6,2563.36,371,427.2266666666667
12360,16,5,1590.83,292,318.166
12361,99,3,321.35,319,107.11666666666667
12362,375,1,130.0,375,130.0
12366,270,1,500.24,270,500.24
12368,265,1,917.6999999999999,265,917.6999999999999
12369,50,3,1791.1499999999999,278,597.05
12370,261,3,774.62,305,258.20666666666665
12371,46,3,2179.42,282,726.4733333333334
12373,261,2,763.0500000000001,310,381.52500000000003
12374,58,3,2246.29,225,748.7633333333333
12376,26,2,503.15,54,251.575
12377,18,2,1798.2,226,899.1
12378,199,1,1407.7,199,1407.7
12379,59,2,767.98,171,383.99
12380,102,7,6951.49,299,993.0699999999999
12385,16,1,1938.3999999999999,16,1938.3999999999999
12386,3,1,258.90000000000003,3,258.90000000000003
12387,52,1,143.94,52,143.94
12388,82,2,1120.45,219,560.225
12389,39,3,1433.33,292,477.77666666666664
12391,101,5,2312.53,299,462.50600000000003
12392,228,1,234.75000000000003,228,234.75000000000003
12393,19,2,816.8500000000001,65,408.42500000000007
12395,8,4,2048.6400000000003,239,512.1600000000001
12396,311,1,931.4300000000001,311,931.4300000000001
12399,22,3,853.6499999999999,281,284.54999999999995
12400,51,1,205.25,51,205.25
12402,29,5,1031.3000000000002,307,206.26000000000005
12403,158,1,591.6600000000001,158,591.6600000000001
12404,319,1,63.24,319,63.24
12406,36,3,2975.0599999999995,334,991.6866666666665
12408,22,3,1452.2199999999998,135,484.07333333333327
12409,57,4,12346.619999999999,202,3086.6549999999997
12410,139,1,320.38,139,320.38
12411,46,1,346.90000000000003,46,346.90000000000003
12412,39,3,1370.0500000000002,176,456.6833333333334
12413,39,1,241.35,39,241.35
12414,100,3,390.0,100,130.0
12415,12,7,19543.84,164,2791.977142857143
12416,293,1,202.56,293,202.56
12417,47,11,3167.8100000000004,370,287.9827272727273
12418,50,3,1352.62,267,450.8733333333333
12419,22,2,503.01,50,251.505
12421,52,2,291.56,142,145.78
12422,31,14,4428.24,358,316.30285714285714
12423,24,2,763.0799999999999,102,381.53999999999996
12424,59,2,1579.0700000000006,185,789.5350000000003
12425,85,1,964.21,85,964.21
