Customer ID,recency,frequency,monetary,tenure,avg_order_value,recency_score,frequency_score,monetary_score,RF_SCORE,segment
12346,166,11,372.86,362,33.89636363636364,2,5,2,25,cant_loose
12347,4,2,1323.32,41,661.66,5,2,4,52,potential_loyalists
12348,75,1,222.16,75,222.16,2,1,1,21,hibernating
12349,44,3,2671.1400000000003,226,890.3800000000001,3,3,5,33,need_attention
12351,12,1,300.93,12,300.93,5,1,2,51,new_customers
12352,12,2,343.79999999999995,29,171.89999999999998,5,2,2,52,potential_loyalists
12353,45,1,317.75999999999993,45,317.75999999999993,3,1,2,31,about_to_sleep
12355,204,1,488.21,204,488.21,1,1,2,11,hibernating
12356,17,3,3562.2499999999995,61,1187.4166666666663,4,3,5,43,potential_loyalists
12357,25,2,12079.990000000002,25,6039.995000000001,4,2,5,42,potential_loyalists
12358,12,3,2719.01,368,906.3366666666668,5,3,5,53,potential_loyalists
12359,62,6,2563.36,371,427.2266666666667,3,4,5,34,loyal_customers
12360,16,5,1590.83,292,318.166,5,4,4,54,champions
12361,99,3,321.35,319,107.11666666666667,2,3,2,23,at_Risk
12362,375,1,130.0,375,130.0,1,1,1,11,hibernating
12366,270,1,500.24,270,500.24,1,1,2,11,hibernating
12368,265,1,917.7,265,917.7,1,1,3,11,hibernating
12369,50,3,1791.15,278,597.05,3,3,4,33,need_attention
12370,261,3,774.62,305,258.20666666666665,1,3,3,13,at_Risk
12371,46,3,2179.42,282,726.4733333333334,3,3,5,33,need_attention
12373,261,2,763.0500000000001,310,381.525,1,2,3,12,hibernating
12374,58,3,2246.29,225,748.7633333333333,3,3,5,33,need_attention
12376,26,2,503.15,54,251.575,4,2,2,42,potential_loyalists
12377,18,2,1798.2,226,899.1,4,2,4,42,potential_loyalists
12378,199,1,1407.7,199,1407.7,1,1,4,11,hibernating
12379,59,2,767.98,171,383.99,3,2,3,32,about_to_sleep
12380,102,7,6951.49,299,993.07,2,5,5,25,cant_loose
12385,16,1,1938.4,16,1938.4,5,1,4,51,new_customers
12386,3,1,258.90000000000003,3,258.90000000000003,5,1,2,51,new_customers
12387,52,1,143.94,52,143.94,3,1,1,31,about_to_sleep
12388,82,2,1120.45,219,560.225,2,2,4,22,hibernating
12389,39,3,1433.33,292,477.7766666666666,3,3,4,33,need_attention
12391,101,5,2312.53,299,462.506,2,4,5,24,at_Risk
12392,228,1,234.75000000000003,228,234.75000000000003,1,1,1,11,hibernating
12393,19,2,816.8500000000001,65,408.42500000000007,4,2,3,42,potential_loyalists
12395,8,4,2048.6400000000003,239,512.1600000000001,5,4,4,54,champions
